"time","S","V1","V2","E","Ev","I1","I2","I3","I4","Ia","Rc","Rcp","Ra","BH","BL","CDc","CInc","CRD","CRInc","temperature","rainfall","n","beta_e","beta_e0","lam_e","lam_h","u","P","rho1.rho1","rho2.rho2","HYG","SAN","CWA","e_inc","h_inc","I","R"
18,17695233.7800203,0,0,398.258225818395,0,13.9507328225158,35.9516790401037,130.482451286005,45.5397391482553,157.530051520684,900.795973824883,1.76314977373232,3073.48894479485,19779110329.311,7330857023.0976,8.45903163769651,4878.97371742835,2.96066107319378,242.760040387748,21.1298170196427,97480.1631913927,0.151695738996296,5.73169890742314e-06,0.00019,5.72389096498619e-06,4.39999682204627e-06,18871032218.4531,17699991.5409684,0,0,1,1,1,101.285588756777,77.8589723974552,383.454653817564,3976.04806839346
19,17695076.1679942,0,0,379.217553091885,0,13.2956730838715,34.2816340730456,124.454019617807,43.5023841904426,149.68923453386,958.958519206614,2.03023050860979,3209.45775266689,18878210599.7477,7174618764.02862,8.94500480524894,5054.23734115627,3.13075168183713,256.879685986579,21.1440454829724,96741.7926545727,0.154645106395039,5.30206991637895e-06,0.00019,5.29469016514855e-06,4.39999667038913e-06,17987695849.2266,17699991.0549952,0,0,1,1,1,93.6899457582335,77.8582762214565,365.222945499027,4170.44650238211
20,17694926.3938269,0,0,362.115101747648,0,12.6730840430969,32.6891650150072,118.696725880952,41.51445946632,142.558356455633,1014.4357174934,2.31350726194428,3337.20182354033,18003634758.5374,7001253619.68808,9.40823221675378,5222.40161565533,3.29288127586382,270.340789400144,21.158531632243,96100.1132215791,0.157647888593076,4.92870170404728e-06,0.00019,4.92167200298183e-06,4.39999650864429e-06,17147375084.9993,17699990.5917678,0,0,1,1,1,87.088623827322,77.8576143535559,348.131790861009,4353.95104829568
21,17694783.4182413,0,0,346.971544888841,0,12.0903381454199,31.1944551569109,113.286098726568,39.611485647063,136.15107570732,1067.33220430878,2.61220717358865,3457.48236378582,17169822792.2928,6818868510.95438,9.84998510530244,5384.46195342298,3.44749478685585,283.179452146891,21.1732710548329,95555.3203541832,0.16070317091386,4.61170800200246e-06,0.00019,4.60495474852481e-06,4.39999633909497e-06,16360220904.5122,17699990.1500149,0,0,1,1,1,81.4836769259486,77.8569822613403,332.333453383282,4527.42677526818
22,17694646.2043872,0,0,333.800926954425,0,11.5528665306823,29.8124644101975,108.278220027264,37.8199758880903,130.476368621002,1117.79008084846,2.92559393596933,3571.06734995696,16387490473.7745,6633824086.93205,10.2717656621534,5541.41563227004,3.59511798175368,295.438647017016,21.1882592609714,95107.5800015699,0.163810022688798,4.35118536959696e-06,0.00019,4.34463615138669e-06,4.39999616432497e-06,15633724806.4256,17699989.7282343,0,0,1,1,1,76.8767995855777,77.8563754283908,317.939895477236,4691.78302474139
23,17694513.7182114,0,0,322.6129187966,0,11.0646564128645,28.5542435027871,103.714594072804,36.1596307507053,125.54021305249,1165.97943846896,3.252976961174,3678.72786932023,15664552344.7557,6451115632.73431,10.6752472949835,5694.26144937442,3.73633655324421,307.166452024061,21.2034916851056,94757.0285497881,0.166967497540743,4.14721316454833e-06,0.00019,4.14079443843308e-06,4.39999598730406e-06,14973396688.2515,17699989.3247527,0,0,1,1,1,73.2693439951474,77.8557893574267,305.033337791651,4847.96028475036
24,17694384.9288062,0,0,313.414321651133,0,10.6286339377424,27.4279516208055,99.6259232519022,34.6450639302037,121.346692374283,1212.09103519475,3.59371840485532,3781.23562450351,15006843908.5327,6274690935.03458,11.0622289009993,5843.9993842724,3.87178011534976,318.41469577559,21.2189636872917,94503.7727802057,0.170174633672269,3.99985351876613e-06,0.00019,3.99348907927322e-06,4.39999581143887e-06,14383287507.9725,17699988.9377711,0,0,1,1,1,70.6623329776443,77.8552195727345,293.674265114937,4996.92037810311
25,17694258.8087336,0,0,306.209924159116,0,10.2469454878794,26.4396095324094,96.0349068468984,33.2871035727457,117.898626886279,1256.33089356839,3.94723828047118,3879.36141653194,14418663006.2423,6107702766.49032,11.4346015553263,5991.6302728315,4.00211054436419,329.237968011876,21.2346705546077,94347.8898369836,0.173430454158642,3.90915131942601e-06,0.00019,3.90276141872531e-06,4.39999564057496e-06,13866374082.6352,17699988.5653984,0,0,1,1,1,69.0564706116658,77.8546616216327,283.907192326212,5139.6395483808
26,17694134.3343263,0,0,301.003040310303,0,9.92116066948945,25.5936466858782,92.958277898225,32.0937460463798,115.197977000001,1298.91636837828,4.31301815121097,3973.87411406278,13903163887.3713,5952699668.78068,11.7943244351823,6138.15549762998,4.1280135523138,339.692902846496,21.2506075025899,94289.4272035763,0.176733967245402,3.87513419529654e-06,0.00019,3.8686352360825e-06,4.39999547893711e-06,13424837289.3642,17699988.2056755,0,0,1,1,1,68.4521515577521,77.8541110747419,275.764808299973,5277.10350059228
27,17694010.4859813,0,0,297.795860914328,0,9.65242662289326,24.8933196869874,90.4083638888754,31.0708944169789,113.246086549496,1340.07312599458,4.69060393456339,4065.5399302269,13462660997.2845,5811774241.26085,12.1434064541404,6284.57668250106,4.25019225894913,349.837630881077,21.2667696766895,94328.4026882683,0.180084166650459,3.89781250832319e-06,0.00019,3.89111727702978e-06,4.39999533100654e-06,13060273928.5774,17699987.8565935,0,0,1,1,1,68.849469901948,77.8535635250985,269.271091165231,5410.30366015605
28,17693886.2484507,0,0,296.589681580541,0,9.44158674423184,24.3410363680026,88.394297586232,30.2229334958928,112.043854408814,1380.0327935847,5.07960805364023,4155.12186545981,13098863774.1191,5686677950.55164,12.4838920358336,6431.89538398115,4.36936221254174,359.73135393019,21.2831521537516,94464.8044187494,0.183480031870623,3.97717935047223e-06,0.00019,3.97019777386742e-06,4.39999520133384e-06,12773860035.6849,17699987.516108,0,0,1,1,1,70.2482277946621,77.8530145861298,264.443708603173,5540.23426709815
29,17693760.6110928,0,0,297.384974423086,0,9.2892444953393,23.9385329241549,86.922682074139,29.5530501223391,111.591791397067,1419.03165417611,5.47971058713605,4243.37941366867,12813005300.6084,5578889790.47669,12.8178533130699,6581.11282186923,4.48624865957447,369.434110617439,21.2997499435151,94698.5908457311,0.186920528492449,4.11321054583461e-06,0.00019,4.10585092576688e-06,4.3999950942756e-06,12566439092.6481,17699987.1821467,0,0,1,1,1,72.647943385353,77.8524598880952,261.295301013039,5667.89077843192
